date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:57	109/109	---M--	200	added ('OK')	text/plain	etag:%2258754f1a-6d%22	https://blogs.constantcontact.com/robots.txt		(from )
21:30:57	97888/97888	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:30:55%20GMT	https://blogs.constantcontact.com/pinterest-for-business/	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index.html	(from )
21:30:57	37377/37377	---M--	200	added ('OK')	image/png	etag:%2258bdcee8-9201%22	https://blogs.constantcontact.com/wp-content/uploads/2013/08/25-Things-That-Make-You-Look-Dumb-on-Pinterest.png	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/uploads/2013/08/25-Things-That-Make-You-Look-Dumb-on-Pinterest.png	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:30:58	5005/5005	---MCZ	200	added ('OK')	text/css	etag:W/%2258754f1a-138d%22	https://blogs.constantcontact.com/wp-content/plugins/ctct-event-thank-you/assets/css/ctct-event-thank-you.css?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/plugins/ctct-event-thank-you/assets/css/ctct-event-thank-you55fe.css	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:30:58	12225/12225	---MCZ	200	added ('OK')	text/css	etag:W/%2259123c75-2fc1%22	https://blogs.constantcontact.com/wp-content/plugins/ctct-sf-events/assets/css/ctct-sf-events.min.css?ver=2.1.6	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/plugins/ctct-sf-events/assets/css/ctct-sf-events.min784e.css	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:30:58	1518/1518	---MCZ	200	added ('OK')	text/css	etag:W/%2258bf0da9-5ee%22	https://blogs.constantcontact.com/wp-content/plugins/ctct-sf-events/assets/css/ctct-sf-time.min.css?ver=2.1.6	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/plugins/ctct-sf-events/assets/css/ctct-sf-time.min784e.css	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:30:59	18208/18208	---MCZ	200	added ('OK')	text/css	etag:W/%225995f465-4720%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/css/ctct-header.min.css	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/css/ctct-header.min.css	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:30:59	15808/15808	---MCZ	200	added ('OK')	text/css	etag:W/%22595e8b7e-3dc0%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/css/ctct-footer.min.css	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/css/ctct-footer.min.css	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:30:59	112906/112906	---MCZ	200	added ('OK')	text/css	etag:W/%22595e8b7e-1b90a%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/css/app_clean.min.css	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/css/app_clean.min.css	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:02	93107/93107	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258754f1b-16bb3%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/jquery-1.10.2.min.js	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/jquery-1.10.2.min.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:05	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	D:/DESKTOP/XOA%20SACH/article-copy/content1/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:05	838/838	---M--	200	added ('OK')	application/x-javascript	etag:%2259d79850-346%22	https://blogs.constantcontact.com/wp-content/plugins/wp-hide-post/public/js/wp-hide-post-public.js?ver=2.0.10	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/plugins/wp-hide-post/public/js/wp-hide-post-public6471.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:05	2497/2497	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258754f1b-9c1%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/jquery.browser-0.0.8.min.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/jquery.browser-0.0.8.min55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:05	15179/15179	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258754f1b-3b4b%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/modernizr-2.6.2.min.js	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/modernizr-2.6.2.min.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Apr%202018%2014:31:05%20GMT	http://www.constantcontact.com/site/common/_script/modules/cc-formloader.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/www.constantcontact.com/site/common/_script/modules/cc-formloader.d55fe.delayed	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:07	5534/5534	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258754f1b-159e%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/affix.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/affix55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:07	1010/1010	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221c68230-608-5690903631300%22	https://www.constantcontact.com/site/common/_script/modules/cc-formloader.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/www.constantcontact.com/site/common/_script/modules/cc-formloader55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:08	9606/9606	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258754f1b-2586%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/ctct-ajax-filters.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/ctct-ajax-filters55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
